INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-11 10:41:23 | INFO | Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
2026-08-11 10:41:23 | INFO | You can register for an API key at https://three.arcprize.org
You can register for an API key at https://three.arcprize.org
2026-08-11 10:41:24 | INFO | Successfully fetched 25 environment(s) from API
Successfully fetched 25 environment(s) from API
=== [1/1] cn04 ===
2026-08-11 10:41:24 | INFO | Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
2026-08-11 10:41:25 | INFO | Successfully fetched metadata for game cn04
Successfully fetched metadata for game cn04
2026-08-11 10:41:26 | INFO | Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
2026-08-11 10:41:26 | INFO | Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
cn04 - RESET: count 0, levels completed 0, avg fps 0.0)
cn04 - ACTION2: count 398, levels completed 1, avg fps 18.98)
cn04 - ACTION2: count 399, levels completed 1, avg fps 18.97)
cn04 - ACTION2: count 400, levels completed 1, avg fps 18.98)
cn04 - ACTION2: count 401, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 402, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 403, levels completed 1, avg fps 19.01)
cn04 - ACTION2: count 404, levels completed 1, avg fps 19.01)
cn04 - ACTION2: count 405, levels completed 1, avg fps 19.02)
cn04 - ACTION2: count 406, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 407, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 408, levels completed 1, avg fps 18.98)
cn04 - ACTION2: count 409, levels completed 1, avg fps 18.99)
cn04 - ACTION2: count 410, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 411, levels completed 1, avg fps 18.99)
cn04 - ACTION2: count 412, levels completed 1, avg fps 19.01)
cn04 - ACTION2: count 413, levels completed 1, avg fps 19.03)
cn04 - ACTION2: count 414, levels completed 1, avg fps 19.02)
cn04 - ACTION2: count 415, levels completed 1, avg fps 19.03)
cn04 - ACTION2: count 416, levels completed 1, avg fps 19.0)
cn04 - ACTION2: count 417, levels completed 1, avg fps 19.01)
cn04 - ACTION2: count 418, levels completed 1, avg fps 19.02)
cn04 - ACTION2: count 419, levels completed 1, avg fps 19.02)
cn04 - ACTION2: count 420, levels completed 1, avg fps 19.03)
cn04 - ACTION2: count 421, levels completed 1, avg fps 19.04)
cn04 - ACTION2: count 422, levels completed 1, avg fps 19.06)
cn04 - ACTION2: count 423, levels completed 1, avg fps 19.05)
cn04 - ACTION2: count 424, levels completed 1, avg fps 19.06)
cn04 - ACTION2: count 425, levels completed 1, avg fps 19.08)
cn04 - ACTION2: count 426, levels completed 1, avg fps 19.04)
cn04 - ACTION2: count 427, levels completed 1, avg fps 19.05)
cn04 - ACTION2: count 428, levels completed 1, avg fps 19.06)
cn04 - ACTION2: count 429, levels completed 1, avg fps 19.07)
cn04 - ACTION2: count 430, levels completed 1, avg fps 19.08)
cn04 - ACTION2: count 431, levels completed 1, avg fps 19.1)
cn04 - ACTION2: count 432, levels completed 1, avg fps 19.09)
cn04 - ACTION2: count 433, levels completed 1, avg fps 19.1)
cn04 - ACTION2: count 434, levels completed 1, avg fps 19.11)
cn04 - RESET: count 435, levels completed 1, avg fps 19.15)
cn04 - ACTION1: count 436, levels completed 1, avg fps 19.18)
cn04 - ACTION2: count 437, levels completed 1, avg fps 19.16)
cn04 - ACTION2: count 438, levels completed 1, avg fps 19.17)
cn04 - ACTION2: count 439, levels completed 1, avg fps 19.16)
cn04 - ACTION2: count 440, levels completed 1, avg fps 19.17)
cn04 - ACTION2: count 441, levels completed 1, avg fps 19.17)
cn04 - ACTION2: count 442, levels completed 1, avg fps 19.18)
cn04 - ACTION2: count 443, levels completed 1, avg fps 19.19)
cn04 - ACTION2: count 444, levels completed 1, avg fps 19.2)
cn04 - ACTION2: count 445, levels completed 1, avg fps 19.2)
cn04 - ACTION2: count 446, levels completed 1, avg fps 19.21)
cn04 - ACTION2: count 447, levels completed 1, avg fps 19.18)
cn04 - ACTION2: count 448, levels completed 1, avg fps 19.19)
cn04 - ACTION2: count 449, levels completed 1, avg fps 19.2)
cn04 - ACTION2: count 450, levels completed 1, avg fps 19.2)
cn04 - ACTION2: count 451, levels completed 1, avg fps 19.21)
cn04 - ACTION2: count 452, levels completed 1, avg fps 19.22)
cn04 - ACTION2: count 453, levels completed 1, avg fps 19.22)
cn04 - ACTION2: count 454, levels completed 1, avg fps 19.24)
cn04 - ACTION2: count 455, levels completed 1, avg fps 19.24)
cn04 - ACTION2: count 456, levels completed 1, avg fps 19.24)
cn04 - ACTION2: count 457, levels completed 1, avg fps 19.22)
cn04 - ACTION2: count 458, levels completed 1, avg fps 19.22)
cn04 - ACTION2: count 459, levels completed 1, avg fps 19.24)
cn04 - ACTION2: count 460, levels completed 1, avg fps 19.24)
cn04 - ACTION2: count 461, levels completed 1, avg fps 19.25)
cn04 - ACTION2: count 462, levels completed 1, avg fps 19.25)
cn04 - ACTION2: count 463, levels completed 1, avg fps 19.26)
cn04 - ACTION2: count 464, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 465, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 466, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 467, levels completed 1, avg fps 19.25)
cn04 - ACTION2: count 468, levels completed 1, avg fps 19.26)
cn04 - ACTION2: count 469, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 470, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 471, levels completed 1, avg fps 19.27)
cn04 - ACTION2: count 472, levels completed 1, avg fps 19.28)
cn04 - ACTION2: count 473, levels completed 1, avg fps 19.29)
cn04 - ACTION2: count 474, levels completed 1, avg fps 19.3)
cn04 - ACTION2: count 475, levels completed 1, avg fps 19.3)
cn04 - ACTION2: count 476, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 477, levels completed 1, avg fps 19.28)
cn04 - ACTION2: count 478, levels completed 1, avg fps 19.28)
cn04 - ACTION2: count 479, levels completed 1, avg fps 19.29)
cn04 - ACTION2: count 480, levels completed 1, avg fps 19.3)
cn04 - ACTION2: count 481, levels completed 1, avg fps 19.3)
cn04 - ACTION2: count 482, levels completed 1, avg fps 19.32)
cn04 - ACTION2: count 483, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 484, levels completed 1, avg fps 19.32)
cn04 - ACTION2: count 485, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 486, levels completed 1, avg fps 19.35)
cn04 - ACTION2: count 487, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 488, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 489, levels completed 1, avg fps 19.29)
cn04 - ACTION2: count 490, levels completed 1, avg fps 19.3)
cn04 - ACTION2: count 491, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 492, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 493, levels completed 1, avg fps 19.32)
cn04 - ACTION2: count 494, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 495, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 496, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 497, levels completed 1, avg fps 19.32)
cn04 - ACTION2: count 498, levels completed 1, avg fps 19.31)
cn04 - ACTION2: count 499, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 500, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 501, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 502, levels completed 1, avg fps 19.33)
cn04 - ACTION2: count 503, levels completed 1, avg fps 19.34)
cn04 - ACTION2: count 504, levels completed 1, avg fps 19.35)
cn04 - ACTION2: count 505, levels completed 1, avg fps 19.36)
cn04 - ACTION2: count 506, levels completed 1, avg fps 19.36)
cn04 - ACTION2: count 507, levels completed 1, avg fps 19.34)
cn04 - ACTION2: count 508, levels completed 1, avg fps 19.35)
cn04 - ACTION2: count 509, levels completed 1, avg fps 19.35)
cn04 - ACTION2: count 510, levels completed 1, avg fps 19.35)
cn04 - ACTION2: count 511, levels completed 1, avg fps 19.36)
cn04 - ACTION2: count 512, levels completed 1, avg fps 19.37)
cn04 - ACTION2: count 513, levels completed 1, avg fps 19.37)
cn04 - ACTION2: count 514, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 515, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 516, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 517, levels completed 1, avg fps 19.36)
cn04 - ACTION2: count 518, levels completed 1, avg fps 19.36)
cn04 - ACTION2: count 519, levels completed 1, avg fps 19.37)
cn04 - ACTION2: count 520, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 521, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 522, levels completed 1, avg fps 19.39)
cn04 - ACTION2: count 523, levels completed 1, avg fps 19.39)
cn04 - ACTION2: count 524, levels completed 1, avg fps 19.41)
cn04 - ACTION2: count 525, levels completed 1, avg fps 19.41)
cn04 - ACTION2: count 526, levels completed 1, avg fps 19.41)
cn04 - ACTION2: count 527, levels completed 1, avg fps 19.38)
cn04 - ACTION2: count 528, levels completed 1, avg fps 19.4)
cn04 - ACTION2: count 529, levels completed 1, avg fps 19.4)
cn04 - ACTION2: count 530, levels completed 1, avg fps 19.41)
cn04 - ACTION2: count 531, levels completed 1, avg fps 19.41)
cn04 - ACTION2: count 532, levels completed 1, avg fps 19.42)
cn04 - ACTION2: count 533, levels completed 1, avg fps 19.42)
cn04 - ACTION2: count 534, levels completed 1, avg fps 19.43)
cn04 - ACTION2: count 535, levels completed 1, avg fps 19.43)
cn04 - RESET: count 536, levels completed 1, avg fps 19.47)
cn04 - ACTION1: count 537, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 538, levels completed 1, avg fps 19.47)
cn04 - ACTION2: count 539, levels completed 1, avg fps 19.49)
cn04 - ACTION2: count 540, levels completed 1, avg fps 19.48)
cn04 - ACTION2: count 541, levels completed 1, avg fps 19.49)
cn04 - ACTION2: count 542, levels completed 1, avg fps 19.49)
cn04 - ACTION2: count 543, levels completed 1, avg fps 19.49)
cn04 - ACTION2: count 544, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 545, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 546, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 547, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 548, levels completed 1, avg fps 19.49)
cn04 - ACTION2: count 549, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 550, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 551, levels completed 1, avg fps 19.5)
cn04 - ACTION2: count 552, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 553, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 554, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 555, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 556, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 557, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 558, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 559, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 560, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 561, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 562, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 563, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 564, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 565, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 566, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 567, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 568, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 569, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 570, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 571, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 572, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 573, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 574, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 575, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 576, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 577, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 578, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 579, levels completed 1, avg fps 19.51)
cn04 - ACTION2: count 580, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 581, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 582, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 583, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 584, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 585, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 586, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 587, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 588, levels completed 1, avg fps 19.52)
cn04 - ACTION2: count 589, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 590, levels completed 1, avg fps 19.53)
cn04 - ACTION2: count 591, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 592, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 593, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 594, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 595, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 596, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 597, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 598, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 599, levels completed 1, avg fps 19.54)
cn04 - ACTION2: count 600, levels completed 1, avg fps 19.55)
cn04 - ACTION2: count 601, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 602, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 603, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 604, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 605, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 606, levels completed 1, avg fps 19.58)
cn04 - ACTION2: count 607, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 608, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 609, levels completed 1, avg fps 19.56)
cn04 - ACTION2: count 610, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 611, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 612, levels completed 1, avg fps 19.58)
cn04 - ACTION2: count 613, levels completed 1, avg fps 19.58)
cn04 - ACTION2: count 614, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 615, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 616, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 617, levels completed 1, avg fps 19.6)
cn04 - ACTION2: count 618, levels completed 1, avg fps 19.57)
cn04 - ACTION2: count 619, levels completed 1, avg fps 19.58)
cn04 - ACTION2: count 620, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 621, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 622, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 623, levels completed 1, avg fps 19.59)
cn04 - ACTION2: count 624, levels completed 1, avg fps 19.6)
cn04 - ACTION2: count 625, levels completed 1, avg fps 19.6)
cn04 - ACTION2: count 626, levels completed 1, avg fps 19.62)
cn04 - ACTION2: count 627, levels completed 1, avg fps 19.64)
cn04 - ACTION2: count 628, levels completed 1, avg fps 19.61)
cn04 - ACTION2: count 629, levels completed 1, avg fps 19.62)
cn04 - ACTION2: count 630, levels completed 1, avg fps 19.62)
cn04 - ACTION2: count 631, levels completed 1, avg fps 19.63)
cn04 - ACTION2: count 632, levels completed 1, avg fps 19.63)
cn04 - ACTION2: count 633, levels completed 1, avg fps 19.63)
cn04 - ACTION2: count 634, levels completed 1, avg fps 19.63)
cn04 - ACTION2: count 635, levels completed 1, avg fps 19.64)
cn04 - ACTION2: count 636, levels completed 1, avg fps 19.65)
cn04 - RESET: count 637, levels completed 1, avg fps 19.68)
cn04 - ACTION1: count 638, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 639, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 640, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 641, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 642, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 643, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 644, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 645, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 646, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 647, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 648, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 649, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 650, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 651, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 652, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 653, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 654, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 655, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 656, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 657, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 658, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 659, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 660, levels completed 1, avg fps 19.67)
cn04 - ACTION2: count 661, levels completed 1, avg fps 19.67)
cn04 - ACTION2: count 662, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 663, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 664, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 665, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 666, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 667, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 668, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 669, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 670, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 671, levels completed 1, avg fps 19.68)
cn04 - ACTION2: count 672, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 673, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 674, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 675, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 676, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 677, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 678, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 679, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 680, levels completed 1, avg fps 19.69)
cn04 - ACTION2: count 681, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 682, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 683, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 684, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 685, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 686, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 687, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 688, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 689, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 690, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 691, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 692, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 693, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 694, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 695, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 696, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 697, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 698, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 699, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 700, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 701, levels completed 1, avg fps 19.7)
cn04 - ACTION2: count 702, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 703, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 704, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 705, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 706, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 707, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 708, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 709, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 710, levels completed 1, avg fps 19.71)
cn04 - ACTION2: count 711, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 712, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 713, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 714, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 715, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 716, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 717, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 718, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 719, levels completed 1, avg fps 19.72)
cn04 - ACTION2: count 720, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 721, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 722, levels completed 1, avg fps 19.73)
cn04 - ACTION2: count 723, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 724, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 725, levels completed 1, avg fps 19.74)
cn04 - ACTION2: count 726, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 727, levels completed 1, avg fps 19.76)
cn04 - ACTION2: count 728, levels completed 1, avg fps 19.76)
cn04 - ACTION2: count 729, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 730, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 731, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 732, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 733, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 734, levels completed 1, avg fps 19.75)
cn04 - ACTION2: count 735, levels completed 1, avg fps 19.76)
cn04 - ACTION2: count 736, levels completed 1, avg fps 19.76)
cn04 - ACTION2: count 737, levels completed 1, avg fps 19.76)
cn04 - RESET: count 738, levels completed 1, avg fps 19.79)
cn04 - ACTION1: count 739, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 740, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 741, levels completed 1, avg fps 19.77)
cn04 - ACTION2: count 742, levels completed 1, avg fps 19.77)
cn04 - ACTION2: count 743, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 744, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 745, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 746, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 747, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 748, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 749, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 750, levels completed 1, avg fps 19.77)
cn04 - ACTION2: count 751, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 752, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 753, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 754, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 755, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 756, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 757, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 758, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 759, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 760, levels completed 1, avg fps 19.78)
cn04 - ACTION2: count 761, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 762, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 763, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 764, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 765, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 766, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 767, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 768, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 769, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 770, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 771, levels completed 1, avg fps 19.79)
cn04 - ACTION2: count 772, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 773, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 774, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 775, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 776, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 777, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 778, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 779, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 780, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 781, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 782, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 783, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 784, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 785, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 786, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 787, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 788, levels completed 1, avg fps 19.84)
cn04 - ACTION2: count 789, levels completed 1, avg fps 19.84)
cn04 - ACTION2: count 790, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 791, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 792, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 793, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 794, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 795, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 796, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 797, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 798, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 799, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 800, levels completed 1, avg fps 19.8)
cn04 - ACTION2: count 801, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 802, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 803, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 804, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 805, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 806, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 807, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 808, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 809, levels completed 1, avg fps 19.83)
cn04 - ACTION2: count 810, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 811, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 812, levels completed 1, avg fps 19.81)
cn04 - ACTION2: count 813, levels completed 1, avg fps 19.82)
cn04 - ACTION2: count 814, levels completed 1, avg fps 19.82)
